,precision,recall,f1-score,support,Pred_4.0,Pred_5.0,Pred_6.0,Pred_7.0,Pred_8.0,Pred_9.0
4.0,0.8520930232558139,0.8189539561913277,0.8351948940050148,2237.0,,,,,,
5.0,0.843101061375173,0.796656976744186,0.8192212839100217,6880.0,,,,,,
6.0,0.8539953962512331,0.8094124980520493,0.8311064885190815,6417.0,,,,,,
7.0,0.8818455640744798,0.941529016225698,0.9107104984093319,20523.0,,,,,,
8.0,0.8295755968169761,0.5965665236051502,0.6940360610263523,2097.0,,,,,,
9.0,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0,,,,,,
accuracy,0.8670090127855795,0.8670090127855795,0.8670090127855795,0.8670090127855795,,,,,,
macro avg,0.8323239958511682,0.7914722094221162,0.8081483192541624,38168.0,,,,,,
weighted avg,0.865509302497407,0.8670090127855795,0.8644495288330347,38168.0,,,,,,
0,,,,,,,,,,
Actual_4.0,,,,,1832.0,162.0,66.0,165.0,12.0,0.0
Actual_5.0,,,,,154.0,5481.0,342.0,875.0,28.0,0.0
Actual_6.0,,,,,62.0,361.0,5194.0,771.0,29.0,0.0
Actual_7.0,,,,,94.0,472.0,444.0,19323.0,188.0,2.0
Actual_8.0,,,,,8.0,25.0,36.0,775.0,1251.0,2.0
Actual_9.0,,,,,0.0,0.0,0.0,3.0,0.0,11.0
